,region,geometry
1074,1075,"POLYGON ((-74.0222464 40.6974368, -74.0222464 40.705825, -74.0111348 40.705825, -74.0111348 40.6974368, -74.0222464 40.6974368))"
1075,1076,"POLYGON ((-74.0222464 40.705825, -74.0222464 40.7142132, -74.0111348 40.7142132, -74.0111348 40.705825, -74.0222464 40.705825))"
1076,1077,"POLYGON ((-74.0222464 40.7142132, -74.0222464 40.7226014, -74.0111348 40.7226014, -74.0111348 40.7142132, -74.0222464 40.7142132))"
1124,1125,"POLYGON ((-74.0111348 40.6974368, -74.0111348 40.705825, -74.0000232 40.705825, -74.0000232 40.6974368, -74.0111348 40.6974368))"
1125,1126,"POLYGON ((-74.0111348 40.705825, -74.0111348 40.7142132, -74.0000232 40.7142132, -74.0000232 40.705825, -74.0111348 40.705825))"
1126,1127,"POLYGON ((-74.0111348 40.7142132, -74.0111348 40.7226014, -74.0000232 40.7226014, -74.0000232 40.7142132, -74.0111348 40.7142132))"
1127,1128,"POLYGON ((-74.0111348 40.7226014, -74.0111348 40.7309896, -74.0000232 40.7309896, -74.0000232 40.7226014, -74.0111348 40.7226014))"
1128,1129,"POLYGON ((-74.0111348 40.7309896, -74.0111348 40.7393778, -74.0000232 40.7393778, -74.0000232 40.7309896, -74.0111348 40.7309896))"
1129,1130,"POLYGON ((-74.0111348 40.7393778, -74.0111348 40.747766, -74.0000232 40.747766, -74.0000232 40.7393778, -74.0111348 40.7393778))"
1130,1131,"POLYGON ((-74.0111348 40.747766, -74.0111348 40.7561542, -74.0000232 40.7561542, -74.0000232 40.747766, -74.0111348 40.747766))"
1131,1132,"POLYGON ((-74.0111348 40.7561542, -74.0111348 40.7645424, -74.0000232 40.7645424, -74.0000232 40.7561542, -74.0111348 40.7561542))"
1171,1172,"POLYGON ((-74.0000232 40.6722722, -74.0000232 40.6806604, -73.9889116 40.6806604, -73.9889116 40.6722722, -74.0000232 40.6722722))"
1172,1173,"POLYGON ((-74.0000232 40.6806604, -74.0000232 40.6890486, -73.9889116 40.6890486, -73.9889116 40.6806604, -74.0000232 40.6806604))"
1173,1174,"POLYGON ((-74.0000232 40.6890486, -74.0000232 40.6974368, -73.9889116 40.6974368, -73.9889116 40.6890486, -74.0000232 40.6890486))"
1174,1175,"POLYGON ((-74.0000232 40.6974368, -74.0000232 40.705825, -73.9889116 40.705825, -73.9889116 40.6974368, -74.0000232 40.6974368))"
1175,1176,"POLYGON ((-74.0000232 40.705825, -74.0000232 40.7142132, -73.9889116 40.7142132, -73.9889116 40.705825, -74.0000232 40.705825))"
1176,1177,"POLYGON ((-74.0000232 40.7142132, -74.0000232 40.7226014, -73.9889116 40.7226014, -73.9889116 40.7142132, -74.0000232 40.7142132))"
1177,1178,"POLYGON ((-74.0000232 40.7226014, -74.0000232 40.7309896, -73.9889116 40.7309896, -73.9889116 40.7226014, -74.0000232 40.7226014))"
1178,1179,"POLYGON ((-74.0000232 40.7309896, -74.0000232 40.7393778, -73.9889116 40.7393778, -73.9889116 40.7309896, -74.0000232 40.7309896))"
1179,1180,"POLYGON ((-74.0000232 40.7393778, -74.0000232 40.747766, -73.9889116 40.747766, -73.9889116 40.7393778, -74.0000232 40.7393778))"
1180,1181,"POLYGON ((-74.0000232 40.747766, -74.0000232 40.7561542, -73.9889116 40.7561542, -73.9889116 40.747766, -74.0000232 40.747766))"
1181,1182,"POLYGON ((-74.0000232 40.7561542, -74.0000232 40.7645424, -73.9889116 40.7645424, -73.9889116 40.7561542, -74.0000232 40.7561542))"
1182,1183,"POLYGON ((-74.0000232 40.7645424, -74.0000232 40.7729306, -73.9889116 40.7729306, -73.9889116 40.7645424, -74.0000232 40.7645424))"
1183,1184,"POLYGON ((-74.0000232 40.7729306, -74.0000232 40.7813188, -73.9889116 40.7813188, -73.9889116 40.7729306, -74.0000232 40.7729306))"
1220,1221,"POLYGON ((-73.9889116 40.663884, -73.9889116 40.6722722, -73.9778 40.6722722, -73.9778 40.663884, -73.9889116 40.663884))"
1221,1222,"POLYGON ((-73.9889116 40.6722722, -73.9889116 40.6806604, -73.9778 40.6806604, -73.9778 40.6722722, -73.9889116 40.6722722))"
1222,1223,"POLYGON ((-73.9889116 40.6806604, -73.9889116 40.6890486, -73.9778 40.6890486, -73.9778 40.6806604, -73.9889116 40.6806604))"
1223,1224,"POLYGON ((-73.9889116 40.6890486, -73.9889116 40.6974368, -73.9778 40.6974368, -73.9778 40.6890486, -73.9889116 40.6890486))"
1224,1225,"POLYGON ((-73.9889116 40.6974368, -73.9889116 40.705825, -73.9778 40.705825, -73.9778 40.6974368, -73.9889116 40.6974368))"
1226,1227,"POLYGON ((-73.9889116 40.7142132, -73.9889116 40.7226014, -73.9778 40.7226014, -73.9778 40.7142132, -73.9889116 40.7142132))"
1227,1228,"POLYGON ((-73.9889116 40.7226014, -73.9889116 40.7309896, -73.9778 40.7309896, -73.9778 40.7226014, -73.9889116 40.7226014))"
1228,1229,"POLYGON ((-73.9889116 40.7309896, -73.9889116 40.7393778, -73.9778 40.7393778, -73.9778 40.7309896, -73.9889116 40.7309896))"
1229,1230,"POLYGON ((-73.9889116 40.7393778, -73.9889116 40.747766, -73.9778 40.747766, -73.9778 40.7393778, -73.9889116 40.7393778))"
1230,1231,"POLYGON ((-73.9889116 40.747766, -73.9889116 40.7561542, -73.9778 40.7561542, -73.9778 40.747766, -73.9889116 40.747766))"
1231,1232,"POLYGON ((-73.9889116 40.7561542, -73.9889116 40.7645424, -73.9778 40.7645424, -73.9778 40.7561542, -73.9889116 40.7561542))"
1232,1233,"POLYGON ((-73.9889116 40.7645424, -73.9889116 40.7729306, -73.9778 40.7729306, -73.9778 40.7645424, -73.9889116 40.7645424))"
1233,1234,"POLYGON ((-73.9889116 40.7729306, -73.9889116 40.7813188, -73.9778 40.7813188, -73.9778 40.7729306, -73.9889116 40.7729306))"
1234,1235,"POLYGON ((-73.9889116 40.7813188, -73.9889116 40.789707, -73.9778 40.789707, -73.9778 40.7813188, -73.9889116 40.7813188))"
1271,1272,"POLYGON ((-73.9778 40.6722722, -73.9778 40.6806604, -73.9666884 40.6806604, -73.9666884 40.6722722, -73.9778 40.6722722))"
1272,1273,"POLYGON ((-73.9778 40.6806604, -73.9778 40.6890486, -73.9666884 40.6890486, -73.9666884 40.6806604, -73.9778 40.6806604))"
1273,1274,"POLYGON ((-73.9778 40.6890486, -73.9778 40.6974368, -73.9666884 40.6974368, -73.9666884 40.6890486, -73.9778 40.6890486))"
1277,1278,"POLYGON ((-73.9778 40.7226014, -73.9778 40.7309896, -73.9666884 40.7309896, -73.9666884 40.7226014, -73.9778 40.7226014))"
1278,1279,"POLYGON ((-73.9778 40.7309896, -73.9778 40.7393778, -73.9666884 40.7393778, -73.9666884 40.7309896, -73.9778 40.7309896))"
1279,1280,"POLYGON ((-73.9778 40.7393778, -73.9778 40.747766, -73.9666884 40.747766, -73.9666884 40.7393778, -73.9778 40.7393778))"
1280,1281,"POLYGON ((-73.9778 40.747766, -73.9778 40.7561542, -73.9666884 40.7561542, -73.9666884 40.747766, -73.9778 40.747766))"
1281,1282,"POLYGON ((-73.9778 40.7561542, -73.9778 40.7645424, -73.9666884 40.7645424, -73.9666884 40.7561542, -73.9778 40.7561542))"
1282,1283,"POLYGON ((-73.9778 40.7645424, -73.9778 40.7729306, -73.9666884 40.7729306, -73.9666884 40.7645424, -73.9778 40.7645424))"
1283,1284,"POLYGON ((-73.9778 40.7729306, -73.9778 40.7813188, -73.9666884 40.7813188, -73.9666884 40.7729306, -73.9778 40.7729306))"
1284,1285,"POLYGON ((-73.9778 40.7813188, -73.9778 40.789707, -73.9666884 40.789707, -73.9666884 40.7813188, -73.9778 40.7813188))"
1285,1286,"POLYGON ((-73.9778 40.789707, -73.9778 40.7980952, -73.9666884 40.7980952, -73.9666884 40.789707, -73.9778 40.789707))"
1286,1287,"POLYGON ((-73.9778 40.7980952, -73.9778 40.8064834, -73.9666884 40.8064834, -73.9666884 40.7980952, -73.9778 40.7980952))"
1325,1326,"POLYGON ((-73.9666884 40.705825, -73.9666884 40.7142132, -73.9555768 40.7142132, -73.9555768 40.705825, -73.9666884 40.705825))"
1326,1327,"POLYGON ((-73.9666884 40.7142132, -73.9666884 40.7226014, -73.9555768 40.7226014, -73.9555768 40.7142132, -73.9666884 40.7142132))"
1330,1331,"POLYGON ((-73.9666884 40.747766, -73.9666884 40.7561542, -73.9555768 40.7561542, -73.9555768 40.747766, -73.9666884 40.747766))"
1331,1332,"POLYGON ((-73.9666884 40.7561542, -73.9666884 40.7645424, -73.9555768 40.7645424, -73.9555768 40.7561542, -73.9666884 40.7561542))"
1332,1333,"POLYGON ((-73.9666884 40.7645424, -73.9666884 40.7729306, -73.9555768 40.7729306, -73.9555768 40.7645424, -73.9666884 40.7645424))"
1333,1334,"POLYGON ((-73.9666884 40.7729306, -73.9666884 40.7813188, -73.9555768 40.7813188, -73.9555768 40.7729306, -73.9666884 40.7729306))"
